100
P 0 0.010
B 0 0 2
B 0 1 3
B 0 2 3
B 0 3 6
B 0 5 3
B 0 8 5
B 0 10 1
B 0 13 10
B 0 14 3
B 0 15 9
B 0 16 4
B 0 17 2
B 0 18 3
B 0 20 2
B 0 21 11
B 0 22 2
B 0 23 4
B 0 25 3
B 0 26 1
B 0 27 5
B 0 28 7
B 0 29 3
B 0 30 5
B 0 31 5
B 0 32 8
B 0 33 9
B 0 36 4
B 0 37 1
B 0 41 1
B 0 42 3
B 0 43 2
B 0 44 1
B 0 45 11
B 0 47 1
B 0 49 1
B 0 50 2
B 0 51 3
B 0 52 1
B 0 54 3
B 0 55 1
B 0 57 3
B 0 59 3
B 0 60 2
B 0 66 1
B 0 67 1
B 0 69 1
B 0 70 5
B 0 72 3
P 1 0.010
B 1 2 1
B 1 5 1
B 1 8 1
B 1 15 2
B 1 16 2
B 1 17 1
B 1 18 1
B 1 26 1
B 1 28 2
B 1 30 1
B 1 31 1
B 1 32 1
B 1 33 2
B 1 42 1
B 1 45 1
B 1 49 1
B 1 58 1
B 1 59 1
B 1 70 1
P 2 0.010
B 2 17 1
B 2 18 1
B 2 21 1
B 2 22 1
B 2 23 1
B 2 26 2
B 2 28 1
B 2 29 1
B 2 30 1
B 2 32 1
B 2 33 1
B 2 42 2
B 2 44 1
B 2 48 1
B 2 57 1
B 2 59 1
B 2 60 1
B 2 70 1
P 3 0.010
B 3 13 1
B 3 15 1
B 3 17 1
B 3 22 1
B 3 23 1
B 3 24 1
B 3 29 1
B 3 32 1
B 3 54 1
B 3 57 1
B 3 61 1
P 4 0.010
B 4 13 1
B 4 14 1
B 4 15 1
B 4 16 1
B 4 22 2
B 4 26 1
B 4 28 1
B 4 29 1
B 4 30 2
B 4 44 1
P 5 0.010
B 5 3 1
B 5 14 2
B 5 15 2
B 5 16 2
B 5 17 1
B 5 20 1
B 5 21 2
B 5 26 1
B 5 27 1
B 5 31 2
B 5 42 1
B 5 44 1
B 5 60 1
B 5 67 1
B 5 69 1
P 6 0.010
B 6 2 1
B 6 13 1
B 6 15 1
B 6 21 2
B 6 22 2
B 6 23 1
B 6 25 1
B 6 26 1
B 6 28 1
B 6 29 1
B 6 31 1
B 6 32 1
B 6 44 2
B 6 45 1
B 6 51 1
B 6 56 1
B 6 60 1
B 6 67 1
B 6 69 1
B 6 72 2
P 7 0.010
B 7 3 1
B 7 13 1
B 7 14 1
B 7 16 1
B 7 17 1
B 7 20 2
B 7 21 1
B 7 27 1
B 7 29 1
B 7 31 1
B 7 33 1
B 7 34 1
B 7 40 1
B 7 41 1
B 7 52 2
B 7 61 1
B 7 65 1
P 8 0.010
B 8 0 1
B 8 13 2
B 8 14 1
B 8 15 1
B 8 21 1
B 8 23 1
B 8 27 1
B 8 31 2
B 8 72 2
P 9 0.010
B 9 2 1
B 9 13 1
B 9 23 2
B 9 29 1
B 9 30 2
B 9 33 1
B 9 34 1
B 9 36 2
B 9 45 2
B 9 60 1
P 10 0.010
B 10 0 2
B 10 2 1
B 10 3 3
B 10 8 1
B 10 11 1
B 10 13 2
B 10 14 1
B 10 23 1
B 10 27 2
B 10 29 1
B 10 42 2
B 10 45 2
B 10 72 1
P 11 0.010
B 11 8 1
B 11 13 2
B 11 14 1
B 11 15 1
B 11 16 1
B 11 18 1
B 11 20 1
B 11 21 1
B 11 23 1
B 11 26 1
B 11 28 1
B 11 29 1
B 11 30 1
B 11 42 2
B 11 55 1
B 11 67 1
P 12 0.010
B 12 2 2
B 12 3 1
B 12 13 2
B 12 14 1
B 12 18 1
B 12 21 1
B 12 55 1
B 12 57 1
B 12 72 1
B 12 73 1
P 13 0.010
B 13 2 1
B 13 8 1
B 13 9 1
B 13 13 4
B 13 14 1
B 13 15 2
B 13 18 1
B 13 22 1
B 13 25 1
B 13 28 1
B 13 29 1
B 13 30 1
B 13 31 1
B 13 33 1
B 13 38 1
B 13 44 1
B 13 45 1
B 13 48 1
P 14 0.010
B 14 3 2
B 14 13 1
B 14 14 1
B 14 17 1
B 14 18 1
B 14 20 1
B 14 22 1
B 14 30 1
B 14 33 1
B 14 35 1
B 14 39 1
B 14 42 1
B 14 44 2
B 14 45 1
B 14 49 1
B 14 57 1
B 14 63 1
B 14 66 1
B 14 71 1
P 15 0.010
B 15 13 2
B 15 15 1
B 15 16 1
B 15 18 1
B 15 29 1
B 15 30 2
B 15 31 1
B 15 32 1
B 15 52 1
B 15 53 1
B 15 57 1
B 15 70 1
P 16 0.010
B 16 3 2
B 16 13 1
B 16 14 1
B 16 16 1
B 16 17 1
B 16 20 1
B 16 21 1
B 16 23 1
B 16 25 1
B 16 27 2
B 16 28 1
B 16 29 1
B 16 34 2
B 16 36 1
B 16 45 1
B 16 57 1
B 16 63 1
B 16 66 1
B 16 73 1
P 17 0.010
B 17 15 1
B 17 18 1
B 17 20 1
B 17 26 1
B 17 32 1
B 17 44 2
B 17 45 1
P 18 0.010
B 18 3 1
B 18 5 1
B 18 9 1
B 18 13 1
B 18 14 1
B 18 15 1
B 18 17 1
B 18 18 1
B 18 24 1
B 18 26 1
B 18 29 1
B 18 31 1
B 18 32 1
B 18 33 1
B 18 34 1
B 18 36 1
B 18 42 1
B 18 45 1
B 18 58 1
B 18 72 1
P 19 0.010
B 19 6 1
B 19 14 1
B 19 15 1
B 19 17 1
B 19 22 1
B 19 25 1
B 19 30 1
B 19 33 1
B 19 42 1
B 19 49 1
B 19 68 1
P 20 0.010
B 20 1 1
B 20 8 1
B 20 13 1
B 20 14 1
B 20 18 2
B 20 23 1
B 20 26 1
B 20 27 1
B 20 29 1
B 20 55 1
B 20 65 1
P 21 0.010
B 21 9 2
B 21 13 2
B 21 14 1
B 21 16 1
B 21 17 1
B 21 21 1
B 21 24 1
B 21 26 1
B 21 34 1
B 21 36 1
B 21 42 1
B 21 59 2
B 21 71 1
P 22 0.010
B 22 3 1
B 22 13 3
B 22 15 1
B 22 16 1
B 22 26 2
B 22 31 1
B 22 32 1
B 22 33 1
B 22 34 1
B 22 36 1
B 22 42 1
B 22 53 1
B 22 71 1
P 23 0.010
B 23 0 1
B 23 2 2
B 23 3 1
B 23 18 1
B 23 21 2
B 23 22 1
B 23 28 1
B 23 32 2
B 23 42 2
B 23 44 1
B 23 52 1
B 23 53 1
B 23 72 1
P 24 0.010
B 24 8 1
B 24 32 2
P 25 0.010
B 25 13 1
B 25 14 2
B 25 18 1
B 25 22 1
B 25 24 1
B 25 26 1
B 25 32 1
B 25 36 1
B 25 45 1
B 25 59 1
B 25 73 1
P 26 0.010
B 26 2 1
B 26 8 1
B 26 13 1
B 26 17 1
B 26 28 1
B 26 32 1
B 26 36 1
B 26 60 1
P 27 0.010
B 27 9 1
B 27 15 1
B 27 16 1
B 27 22 1
B 27 27 2
B 27 33 2
B 27 42 2
B 27 44 2
B 27 45 1
B 27 49 1
B 27 73 1
P 28 0.010
B 28 3 2
B 28 13 2
B 28 14 2
B 28 20 1
B 28 22 1
B 28 55 1
P 29 0.010
B 29 2 2
B 29 3 1
B 29 8 1
B 29 13 1
B 29 23 1
B 29 32 2
B 29 34 1
B 29 36 1
B 29 71 1
P 30 0.010
B 30 2 2
B 30 5 1
B 30 8 1
B 30 11 1
B 30 13 1
B 30 15 1
B 30 32 1
B 30 36 1
B 30 47 1
B 30 56 1
P 31 0.010
B 31 3 1
B 31 13 1
B 31 14 1
B 31 15 1
B 31 20 1
B 31 21 1
B 31 22 2
B 31 23 1
B 31 24 1
B 31 25 1
B 31 30 1
B 31 31 2
B 31 32 1
B 31 33 1
B 31 44 1
B 31 45 1
B 31 52 1
B 31 56 1
B 31 59 1
P 32 0.010
B 32 2 1
B 32 15 2
B 32 23 1
B 32 26 1
B 32 29 1
B 32 32 1
B 32 58 1
B 32 65 1
P 33 0.010
B 33 9 1
B 33 13 3
B 33 14 1
B 33 29 2
B 33 33 1
B 33 42 1
B 33 43 1
B 33 51 1
B 33 54 1
B 33 59 1
P 34 0.010
B 34 8 1
B 34 15 2
B 34 16 1
B 34 26 1
B 34 29 1
B 34 32 1
B 34 33 1
B 34 56 1
B 34 72 1
P 35 0.010
B 35 3 1
B 35 23 1
B 35 26 1
B 35 27 1
B 35 28 1
B 35 29 1
B 35 44 1
B 35 68 1
P 36 0.010
B 36 22 1
B 36 26 2
B 36 61 1
B 36 64 1
B 36 65 1
B 36 70 1
P 37 0.010
B 37 3 1
B 37 13 1
B 37 16 1
B 37 18 1
B 37 27 1
B 37 29 1
B 37 30 1
B 37 32 1
B 37 45 3
B 37 59 1
P 38 0.010
B 38 8 1
B 38 13 1
B 38 14 2
B 38 15 1
B 38 16 2
B 38 18 1
B 38 22 1
B 38 30 1
B 38 32 1
B 38 34 1
B 38 44 1
B 38 45 1
B 38 59 1
B 38 72 1
P 39 0.010
B 39 2 1
B 39 16 1
B 39 22 1
B 39 23 1
B 39 26 1
B 39 30 1
B 39 32 1
B 39 69 1
B 39 70 1
P 40 0.010
B 40 18 1
B 40 22 1
B 40 26 1
B 40 36 1
B 40 44 1
B 40 45 1
B 40 52 1
B 40 63 1
P 41 0.010
B 41 13 2
B 41 15 2
B 41 16 1
B 41 17 1
B 41 21 1
B 41 27 1
B 41 31 1
B 41 32 1
B 41 33 1
B 41 45 1
B 41 70 1
P 42 0.010
B 42 3 1
B 42 13 2
B 42 26 1
B 42 27 1
B 42 32 1
B 42 45 1
B 42 50 1
B 42 55 1
B 42 60 1
B 42 63 1
P 43 0.010
B 43 2 1
B 43 17 1
B 43 23 1
B 43 28 1
B 43 29 1
B 43 32 1
B 43 33 1
B 43 44 2
B 43 72 1
P 44 0.010
B 44 3 3
B 44 13 1
B 44 14 1
B 44 26 1
B 44 31 2
B 44 45 1
B 44 50 1
B 44 51 1
B 44 54 1
B 44 71 1
P 45 0.010
B 45 5 1
B 45 16 1
B 45 26 1
B 45 31 1
B 45 32 2
B 45 45 2
B 45 53 1
B 45 57 1
B 45 58 1
B 45 62 1
B 45 72 1
P 46 0.010
B 46 8 1
B 46 9 1
B 46 21 2
B 46 25 1
B 46 29 1
B 46 30 1
B 46 44 1
B 46 45 1
B 46 55 1
B 46 57 1
P 47 0.010
B 47 3 1
B 47 8 1
B 47 13 1
B 47 15 2
B 47 16 1
B 47 21 1
B 47 26 2
B 47 27 1
B 47 31 1
B 47 36 1
B 47 44 1
B 47 49 1
B 47 60 1
B 47 71 1
P 48 0.010
B 48 8 3
B 48 15 2
B 48 24 1
B 48 27 1
B 48 31 1
B 48 49 1
B 48 60 1
B 48 69 1
