50
P 0 0.020
B 0 0 1
B 0 5 4
B 0 6 1
B 0 7 1
B 0 9 1
B 0 14 1
B 0 15 1
B 0 17 4
B 0 18 3
B 0 22 1
B 0 24 2
B 0 25 1
B 0 27 1
B 0 28 4
B 0 32 2
B 0 33 2
B 0 34 2
B 0 36 3
B 0 41 2
B 0 42 4
B 0 43 1
B 0 44 1
B 0 45 2
B 0 46 2
B 0 49 1
B 0 50 2
B 0 51 2
B 0 52 5
B 0 53 2
B 0 54 1
B 0 55 2
B 0 57 1
B 0 58 1
B 0 59 1
B 0 60 2
B 0 61 2
B 0 62 1
B 0 64 1
B 0 68 2
B 0 69 3
B 0 72 4
B 0 73 4
B 0 75 5
B 0 76 2
B 0 77 3
B 0 78 1
B 0 81 2
B 0 85 2
B 0 86 1
B 0 87 1
B 0 88 2
B 0 90 2
B 0 91 1
B 0 92 1
B 0 95 1
B 0 97 1
B 0 98 1
B 0 99 1
B 0 100 1
B 0 101 1
B 0 102 2
B 0 103 2
B 0 104 2
B 0 105 1
B 0 108 1
B 0 109 1
B 0 112 1
B 0 113 1
B 0 114 3
B 0 116 2
B 0 119 1
B 0 121 1
B 0 122 3
B 0 123 1
B 0 124 2
B 0 125 1
B 0 126 1
B 0 127 3
B 0 128 3
B 0 129 1
B 0 130 3
B 0 131 2
B 0 132 1
B 0 133 1
B 0 134 1
B 0 135 2
B 0 136 2
B 0 137 3
B 0 141 1
B 0 142 1
B 0 143 1
B 0 145 1
B 0 147 2
B 0 149 1
B 0 153 3
B 0 154 2
B 0 155 2
B 0 156 1
B 0 158 3
B 0 159 1
B 0 160 4
B 0 161 3
B 0 162 1
B 0 163 1
B 0 167 1
B 0 174 1
B 0 175 3
B 0 179 2
B 0 181 2
B 0 182 1
B 0 183 1
B 0 185 1
B 0 186 1
B 0 187 1
B 0 188 3
B 0 190 1
B 0 191 2
B 0 192 1
B 0 193 3
B 0 194 1
B 0 195 1
B 0 197 1
B 0 198 2
B 0 199 1
B 0 202 2
B 0 203 3
B 0 204 2
B 0 205 3
B 0 206 1
B 0 207 2
B 0 208 3
B 0 210 1
B 0 212 2
B 0 213 4
B 0 214 1
B 0 215 4
B 0 217 2
B 0 219 4
B 0 221 1
B 0 223 1
B 0 224 1
B 0 225 1
B 0 227 1
B 0 228 1
B 0 230 1
